Id (dec)	Id (hex)	Entity Name	Function Address	Type	PXE/TSC Compatibility	Other notes	Function Pointer	Left Rect	Right Rect	Default Sprite Sheet
361	169	Null	472FF0				498AEC			
362	16A	Omega (boss)	47B6F0			Coded with direct references to variables instead of a struct pointer (less optimisation)	498AF0			
363	16B	Balfrog (boss)	479030				498AF4			
364	16C	Monster X (boss)	47E6F0			Theres a <BOA needed to place it in the right spawn (make it appear)	498AF8			
365	16D	Core (boss)	474400				498AFC			
366	16E	Ironhead (boss)	47A8A0			"Unlike all other Bosses, this one starts right away when loading the map"	498B00			
367	16F	Sisters (boss)	47D170				498B04			
368	170	Undead Core (boss)	4753D0				498B08			
369	171	Heavy Press (boss)	47C820				498B0C			
370	172	Ballos ball (boss)	4772F0				498B10			
-	-	OOB Pointers	-			Arbitrary pointers that correspond to interesting functions in the game	-			
381	17D	Null	481AA5				498B3C			
382	17E	Null	481AA5				498B40			
391	187	Closes Game	48632B			Runs the [TerminateProcess] Windows API call	498B64			
721~726	2D1~2D6	Closes Game	48918C			Runs the [TerminateProcess] Windows API call	49908C~4990A0			
